Step,external_noise_direct,external_noise_prefix,external_noise_direct_ma25,external_noise_prefix_ma25,self_noise_direct,self_noise_prefix,self_noise_direct_ma25,self_noise_prefix_ma25,random_noise_direct,random_noise_prefix,random_noise_direct_ma25,random_noise_prefix_ma25
1,0.4615384638309479,0.375,0.5062299233216506,0.4412475342933948,0.390625,0.078125,0.48036859127191395,0.21875,0.4635416567325592,0.15625,0.484375,0.2091346153846154
2,0.343137264251709,0.3269230723381042,0.5079715166773114,0.4359203300305775,0.3385416567325592,0.3125,0.48251488379069735,0.2109375,0.421875,0.265625,0.4851190469094685,0.21428571428571427
3,0.4460784196853637,0.5192307829856873,0.5047734161218007,0.4306684990723928,0.3645833432674408,0.203125,0.47986111442248025,0.21041666666666667,0.4635416567325592,0.21875,0.48159722089767454,0.21666666666666667
4,0.5192307829856873,0.375,0.5146914254873991,0.43630379997193813,0.4375,0.140625,0.48632812686264515,0.205078125,0.4479166567325592,0.21875,0.4889322891831398,0.220703125
5,0.5,0.4749999940395355,0.5200489426360411,0.4400506352677065,0.484375,0.34375,0.4914215715492473,0.2113970588235294,0.453125,0.21875,0.49172793767031503,0.22426470588235295
6,0.4114583432674408,0.359375,0.5330860565106074,0.4459064089589649,0.3958333432674408,0.109375,0.505208334989018,0.21006944444444445,0.375,0.203125,0.5031828681627909,0.2378472222222222
7,0.5490196347236633,0.557692289352417,0.545276574398342,0.4477412935934569,0.5052083134651184,0.28125,0.5178179850703791,0.21217105263157895,0.5104166865348816,0.1875,0.516173243522644,0.2450657894736842
8,0.5384615659713745,0.5208333134651184,0.5492627456784248,0.4512470856308937,0.5416666865348816,0.171875,0.5208333358168602,0.2125,0.515625,0.25,0.5218749970197678,0.2515625
9,0.5384615659713745,0.4375,0.5571209830897195,0.4527750015258789,0.625,0.328125,0.5252976204667773,0.22172619047619047,0.5416666865348816,0.21875,0.5277777739933559,0.25818452380952384
10,0.5245097875595093,0.4230769276618957,0.5605542592026971,0.45113371312618256,0.4895833432674408,0.34375,0.5274621234698729,0.2237215909090909,0.453125,0.15625,0.5314867388118397,0.26207386363636365
11,0.6078431606292725,0.5384615659713745,0.561834507662317,0.4493763472722924,0.5364583134651184,0.125,0.5323822485364001,0.2262228260869565,0.578125,0.25,0.5350996333619823,0.264945652173913
12,0.4850000143051147,0.375,0.5648670432468256,0.44888149946928024,0.5,0.15625,0.5362413215140501,0.22721354166666666,0.4479166567325592,0.140625,0.5371093700329462,0.267578125
13,0.65625,0.453125,0.5676890289783478,0.45217623949050906,0.6354166865348816,0.25,0.5414583361148835,0.2275,0.625,0.234375,0.5408333277702332,0.274375
14,0.5306122303009033,0.3666666746139526,0.5798044133186341,0.46800957202911375,0.5104166865348816,0.109375,0.5558333361148834,0.235,0.4947916567325592,0.28125,0.5516666615009308,0.28625
15,0.4600000083446502,0.3571428656578064,0.6001173853874207,0.4824326491355896,0.4427083432674408,0.203125,0.5745833373069763,0.23875,0.4322916567325592,0.25,0.5685416615009308,0.2975
16,0.6634615659713745,0.5208333134651184,0.6037325811386108,0.4797884178161621,0.5833333134651184,0.125,0.5795833373069763,0.234375,0.5989583134651184,0.28125,0.5716666626930237,0.30375
17,0.6057692170143127,0.5,0.6085883498191833,0.4866634178161621,0.5729166865348816,0.3125,0.5881250047683716,0.24,0.5364583134651184,0.28125,0.5793749964237214,0.31375
18,0.7547169923782349,0.5454545617103577,0.6218536567687988,0.49499675154685974,0.7395833134651184,0.1875,0.6011989831924438,0.23625,0.6979166865348816,0.46875,0.5929166638851165,0.325
19,0.7647058963775635,0.4807692170143127,0.6355914008617402,0.5006217515468597,0.7447916865348816,0.25,0.6130739820003509,0.238125,0.75,0.375,0.6087499964237213,0.339375
20,0.625,0.5178571343421936,0.6447417271137238,0.503314059972763,0.578125,0.21875,0.6234906494617463,0.246875,0.6302083134651184,0.375,0.6187499964237213,0.35
